1.5849E-07	1.6788E-07	3.3633E-04		2.0023E+03	      	3.8722E-05		2.83E-04		1.80E+03	3.03E-04	3.4890E-05
1.7783E-07	1.8836E-07	2.8756E-04		1.5258E+03	      	3.3107E-05		2.42E-04		1.37E+03	2.59E-04	2.9831E-05
1.9953E-07	2.1135E-07	2.5386E-04		1.2005E+03	      	2.9227E-05		2.14E-04		1.08E+03	2.29E-04	2.6335E-05
2.2387E-07	2.3714E-07	2.3326E-04		9.8311E+02	      	2.6855E-05		1.96E-04		8.86E+02	2.10E-04	2.4198E-05
2.5119E-07	2.6607E-07	2.2265E-04		8.3634E+02	      	2.5633E-05		1.88E-04		7.54E+02	2.01E-04	2.3097E-05
2.8184E-07	2.9854E-07	2.1760E-04		7.2849E+02	      	2.5052E-05		1.83E-04		6.56E+02	1.96E-04	2.2573E-05
3.1623E-07	3.3497E-07	2.1582E-04		6.4395E+02	      	2.4847E-05		1.82E-04		5.80E+02	1.94E-04	2.2388E-05
3.5481E-07	3.7584E-07	2.1505E-04		5.7187E+02	      	2.4758E-05		1.81E-04		5.15E+02	1.94E-04	2.2308E-05
3.9811E-07	4.0598E-07	2.1086E-04		5.1935E+02	      	8.2540E-06		1.78E-04		4.68E+02	1.90E-04	7.4373E-06
4.1400E-07	5.3160E-07	2.0997E-04		3.9090E+02	      	1.0499E-04		1.77E-04		3.52E+02	1.89E-04	9.4605E-05
6.8260E-07	8.7640E-07	2.2007E-04		2.4853E+02	      	1.0995E-04		1.85E-04		2.24E+02	1.98E-04	9.9071E-05
1.1250E-06	1.3570E-06	2.2437E-04		1.6437E+02	      	8.4159E-05		1.89E-04		1.48E+02	2.02E-04	7.5831E-05
1.6370E-06	1.9750E-06	2.3160E-04		1.1660E+02	      	8.6866E-05		1.95E-04		1.05E+02	2.09E-04	7.8270E-05
2.3820E-06	2.8740E-06	2.3816E-04		8.2402E+01	      	8.9324E-05		2.01E-04		7.42E+01	2.15E-04	8.0485E-05
3.4660E-06	4.1810E-06	2.4660E-04		5.8641E+01	      	9.2476E-05		2.08E-04		5.28E+01	2.22E-04	8.3326E-05
5.0430E-06	6.0830E-06	2.5168E-04		4.1131E+01	      	9.4397E-05		2.12E-04		3.71E+01	2.27E-04	8.5056E-05
7.3380E-06	8.8510E-06	2.5513E-04		2.8651E+01	      	9.5752E-05		2.15E-04		2.58E+01	2.30E-04	8.6277E-05
1.0680E-05	1.2880E-05	2.5055E-04		1.9341E+01	      	9.3805E-05		2.11E-04		1.74E+01	2.26E-04	8.4523E-05
1.5530E-05	1.8740E-05	2.4956E-04		1.3243E+01	      	9.3628E-05		2.10E-04		1.19E+01	2.25E-04	8.4364E-05
2.2600E-05	2.9020E-05	2.5165E-04		8.5813E+00	      	1.2589E-04		2.12E-04		7.73E+00	2.27E-04	1.1343E-04
3.7270E-05	4.7850E-05	2.5253E-04		5.2226E+00	      	1.2623E-04		2.13E-04		4.71E+00	2.28E-04	1.1374E-04
6.1440E-05	7.8890E-05	2.6130E-04		3.2779E+00	      	1.3066E-04		2.20E-04		2.95E+00	2.35E-04	1.1773E-04
1.0130E-04	1.3010E-04	2.5645E-04		1.9513E+00	      	1.2820E-04		2.16E-04		1.76E+00	2.31E-04	1.1552E-04
1.6700E-04	2.1450E-04	2.6165E-04		1.2074E+00	      	1.3089E-04		2.20E-04		1.09E+00	2.36E-04	1.1793E-04
2.7540E-04	3.5360E-04	2.6837E-04		7.5112E-01	      	1.3415E-04		2.26E-04		6.77E-01	2.42E-04	1.2088E-04
4.5400E-04	5.5920E-04	2.7003E-04		4.7943E-01	      	1.1252E-04		2.27E-04		4.32E-01	2.43E-04	1.0139E-04
6.8870E-04	8.4820E-04	2.7734E-04		3.2456E-01	      	1.1564E-04		2.34E-04		2.92E-01	2.50E-04	1.0420E-04
1.0450E-03	1.2870E-03	2.7871E-04		2.1501E-01	      	1.1610E-04		2.35E-04		1.94E-01	2.51E-04	1.0461E-04
1.5850E-03	1.9110E-03	2.9204E-04		1.5190E-01	      	1.0937E-04		2.46E-04		1.37E-01	2.63E-04	9.8546E-05
2.3050E-03	2.7810E-03	2.8091E-04		1.0043E-01	      	1.0545E-04		2.37E-04		9.05E-02	2.53E-04	9.5013E-05
3.3550E-03	4.0460E-03	2.9116E-04		7.1531E-02	      	1.0916E-04		2.45E-04		6.45E-02	2.62E-04	9.8355E-05
4.8810E-03	5.8880E-03	2.9741E-04		5.0220E-02	      	1.1154E-04		2.50E-04		4.53E-02	2.68E-04	1.0050E-04
7.1020E-03	8.5660E-03	3.0474E-04		3.5371E-02	      	1.1418E-04		2.57E-04		3.19E-02	2.75E-04	1.0288E-04
1.0330E-02	1.2460E-02	3.2152E-04		2.5653E-02	      	1.2057E-04		2.71E-04		2.31E-02	2.90E-04	1.0864E-04
1.5030E-02	1.8130E-02	3.3431E-04		1.8341E-02	      	1.2508E-04		2.82E-04		1.65E-02	3.01E-04	1.1271E-04
2.1850E-02	2.6370E-02	3.5027E-04		1.3204E-02	      	1.3177E-04		2.95E-04		1.19E-02	3.16E-04	1.1874E-04
